date,REV_GG_TAX_TOTAL_M,REV_CG_TOTAL_M,EXP_CG_TOTAL_M,EXP_GG_SA_TOTAL_Q,REV_GG_SA_TOTAL_Q,IFO_BIZCLIMATE_M,GDP_DEFLATOR_Q,GDP_REAL_Q,HICP_TOTAL_M,IP_TOTAL_M,RETAIL_TURNOVER_M,AUTO_SALES_M,BUND_YIELD_10Y_M
1997-02-01,-0.9052775619963871,2.1711101540994093,-5.897439742468524,,,,,,0.34482758620690834,0.5594405594405716,-7.511737089201887,-2.437337683082208,0.09999999999999964
1997-03-01,0.40866464014173154,3.3935412127477305,8.099857578141002,-0.7048324964982422,0.45835342467712703,,-2.2889653347446415,-5.588615782664929,0.0,4.311543810848395,9.137055837563457,32.29898607001973,0.3899999999999997
1997-04-01,-2.11159179973871,0.4054532538661171,1.0903646683028123,,,,,,-0.3436426116838587,8.266666666666666,5.348837209302326,2.1390280903947456,-0.05999999999999961
1997-05-01,1.2173538040929577,-2.094860833404266,-1.5839144121093884,,,,,,0.34482758620690834,-12.93103448275862,-4.856512141280344,-16.56712460765224,0.1200000000000001
1997-06-01,0.28336908893586976,3.2462012118379624,-5.342246854426158,0.30075089279977263,-0.28022761796543394,,0.27081922816520887,4.0833104960263045,0.1718213058419238,14.851485148514843,-4.988399071925754,17.608829358299726,-0.28000000000000025
1997-07-01,0.7947932197723606,3.8965020577589105,-2.384102765727747,,,,,,0.34305317324185847,-1.8472906403940836,4.029304029304015,-5.1715021179916,-0.20000000000000018
1997-08-01,-2.361713095171636,-6.692349572559353,-3.091652217489038,,,,,,0.17094017094017033,-15.934755332496863,-7.7464788732394485,-25.452061006023396,0.16999999999999993
1997-09-01,2.9534877114199665,-2.887589413942371,4.340612170169145,-0.2753793428184381,1.1468300565118383,,1.1748818365969083,1.2769878883623242,-0.34129692832765013,23.432835820895527,6.743002544529286,14.091731053756362,-0.20999999999999996
1997-10-01,-0.6765306782577918,-0.3366924518636738,0.814760009043991,,,,,,-0.171232876712335,1.9347037484884977,6.674612634088195,11.129722486383686,0.07000000000000028
1997-11-01,-1.0182166786482982,12.880953928879535,-3.745865411670679,,,,,,0.0,-2.016607354685651,-2.346368715083791,-18.737783828463073,-0.08999999999999986
1997-12-01,4.591062038237093,0.08378915247850838,9.675539972253677,-0.8354829151396848,0.3626535725622215,,1.1345435130806214,2.1578057974782183,0.17152658662091813,-6.779661016949145,19.107551487414163,5.6873209997686525,-0.21999999999999975
1998-01-01,-1.9893140090483152,14.377435716962573,-1.0764599684430998,,,,,,0.0,-4.675324675324665,-19.692603266090302,-1.2492640287443901,-0.25
1998-02-01,-0.17861702271939617,-21.24238831623465,0.1690895301375006,,,,,,0.34246575342467,3.133514986376018,-6.100478468899517,7.109988304808779,-0.14000000000000057
1998-03-01,2.8295099932442724,4.635871207780107,2.8589144120455323,2.0306583580435023,0.18221701755967157,,-2.124851524350002,-3.0538236416847053,-0.34129692832765013,14.927344782034346,12.73885350318471,55.512062487288084,-0.03000000000000025
1998-04-01,0.917710733919308,-24.764348418484193,-5.809909591686413,,,,,,0.1712328767123239,-8.045977011494255,0.225988700564983,-31.3433726231641,0.1900000000000004
