date,REV_GG_TAX_TOTAL_M,REV_CG_TOTAL_M,EXP_CG_TOTAL_M,EXP_GG_TOTAL_Q,REV_GG_TOTAL_Q
2007-07-01,40727885779.3908,21985693692.3543,22915481892.7327,,
2007-08-01,41107108521.4271,21084203144.3837,22355927155.7235,,
2007-09-01,41986702223.2414,20999999716.7381,21601657190.701,92203286421.5123,92609043044.7552
2007-10-01,41234082960.2851,20877347790.9431,22747225580.489,,
2007-11-01,41490721860.812,22420798699.468,20446170357.5861,,
2007-12-01,41696302883.0453,20672102035.0443,26716341646.4098,93232424740.365,93625662299.5858
2008-01-01,42982275237.6376,21878042870.7003,23319189131.0434,,
2008-02-01,43353928353.4603,24515197558.1513,22807131109.4034,,
2008-03-01,43008922429.952,21632658441.2873,21805288687.8963,94848014680.4534,94682566803.2332
2008-04-01,43374048828.4646,22060645013.3311,24038631345.3382,,
2008-05-01,42808333260.0709,23066306072.3668,23267413042.5195,,
2008-06-01,43390759796.2571,21482159585.6478,23550826348.0974,95523666648.5206,95387025791.8373
2008-07-01,43105271849.1659,21984410968.2931,25010904630.1553,,
2008-08-01,43819099036.5582,24419369503.2549,23423079459.9038,,
2008-09-01,42860178218.4084,21800289563.0631,23778386288.1477,95142649185.7527,95596075265.3836
2008-10-01,42165665271.2545,22463776364.3437,23652577772.348,,
2008-11-01,43529283484.1393,23719549232.2463,22903959379.2373,,
2008-12-01,42420870467.6354,22408624303.1316,23463015009.7599,97712460642.1798,95594093974.4785
2009-01-01,44051756021.8919,22594260714.4843,23397020335.0757,,
2009-02-01,40904669581.43,23492781962.5787,22303714694.345,,
2009-03-01,40757229134.8861,23341648784.7349,24580647662.5812,97812508014.5267,95707866143.2787
2009-04-01,40177424008.904,19651253031.4179,24193459167.8788,,
2009-05-01,39943523419.6117,22796968390.5709,22248734151.3625,,
2009-06-01,39482245676.5893,22147467181.2882,24418726357.5226,99729672043.3955,93586248570.1042
2009-07-01,40270512964.8101,21767940628.4902,23726759677.4562,,
2009-08-01,39590348269.6173,20634203580.0174,23285126560.2949,,
2009-09-01,40116997194.6215,21617014305.1105,26134857602.6895,101379299275.817,93040761271.8414
2009-10-01,40256216606.7866,20207774135.8117,26105969194.6073,,
2009-11-01,40432816085.0263,20838471803.7774,27373327926.8311,,
2009-12-01,40182780531.1626,19740334083.4811,25004572646.1519,102534639391.327,92983683805.0468
2010-01-01,40549666395.8627,21228827026.9516,24002498289.2887,,
2010-02-01,39698092848.5416,19641677495.9738,24969761838.9427,,
2010-03-01,38316802644.1271,20920743610.8947,25711099236.0556,102088985283.934,92433544950.8447
2010-04-01,42136210877.0494,21902786836.1133,25263519098.1467,,
2010-05-01,40791618965.3834,19508429992.4973,26466886608.43,,
2010-06-01,40163894825.13,25324268488.1759,30243096613.1894,102665727879.701,95192602754.4177
2010-07-01,39792782637.01,20837991262.8968,22339803660.4442,,
2010-08-01,41120183896.853,20221868038.8625,25591856790.1469,,
2010-09-01,40764061627.1746,20762255036.7914,24367147013.4223,112360177594.797,95482068218.788
2010-10-01,41324196326.0595,21998577613.689,24914458371.0825,,
2010-11-01,41587790454.4225,20212430317.9998,24327323027.5478,,
2010-12-01,42485725078.3266,23519344295.0769,28668078451.3192,102406183989.52,97835431133.2356
2011-01-01,43030347970.7833,22289481699.4111,25587614968.6082,,
2011-02-01,43294698967.838,21946253953.7343,25861546813.703,,
2011-03-01,43567562011.1086,22973530210.1765,24396262845.4502,103300167707.915,100502738824.791
2011-04-01,43852363618.8352,22604206033.3082,24980207092.5655,,
2011-05-01,45410012278.5807,23608914544.1466,24320070540.6895,,
2011-06-01,43610077569.5399,22383476485.9253,24083287864.9388,103416914181.37,101846452291.372
2011-07-01,43451940715.9758,22654610772.1447,23982202733.1095,,
2011-08-01,43081572853.2766,22638307288.7522,24831256572.4487,,
2011-09-01,43811117013.573,22786859420.8168,24460586864.7028,103805441581.259,101872548952.875
2011-10-01,44755491215.5228,24283603726.8585,24052670883.6586,,
2011-11-01,45088045397.2553,23032047938.5944,24133186628.1779,,
2011-12-01,44643772736.9374,25113568314.4367,25234693980.2308,104121026804.718,102798286905.709
2012-01-01,45082061202.9372,23647834780.976,26065182184.3047,,
2012-02-01,46051416116.9617,23015124194.144,23399549837.3741,,
2012-03-01,45603082765.9102,21534062913.2884,24365417315.4696,104344441273.492,103809869134.386
2012-04-01,46184360913.6153,23992479536.1787,25544145856.6561,,
2012-05-01,44103565314.1513,22310762362.7947,22584922560.6882,,
2012-06-01,46340919755.0188,23919271064.9095,23712999256.5905,104908288731.858,104602561491.791
2012-07-01,46885931039.0655,24207555988.7814,25243541231.7025,,
2012-08-01,48715756796.0377,24966888460.2696,23988880017.5178,,
2012-09-01,45438644237.9396,23293045378.7233,23684635911.4947,105635704323.338,106569089519.374
2012-10-01,46096609419.1447,24498067687.2967,34097093760.9531,,
2012-11-01,45644972563.0736,23070206646.0658,24840333224.8345,,
2012-12-01,46027840447.2367,24764161598.1205,27758549798.4376,105888554226.871,105434042755.98
2013-01-01,46330154677.6149,23066038463.7101,23189166087.4492,,
2013-02-01,47168595843.4252,24180753251.5102,25573238745.6581,,
2013-03-01,47091252133.3561,22636836314.6924,24162068614.7725,107013411417.339,105703902831.742
2013-04-01,46834590445.7702,24393459035.3588,25208169595.9714,,
2013-05-01,47260821004.2227,23196626829.7924,28619885409.5905,,
2013-06-01,47936241283.4161,23654578860.7698,24684861073.0146,107986464624.831,109109662583.063
