date,REV_GG_TAX_TOTAL,REV_CG_TOTAL,EXP_CG_TOTAL,EXP_GG_SA_TOTAL,REV_GG_SA_TOTAL,IFO_BIZCLIMATE,GDP_DEFLATOR,GDP_REAL,HICP_TOTAL,IP_TOTAL,RETAIL_TURNOVER,AUTO_SALES,BUND_YIELD_10Y
1962-10-01,,,,,,,,,,,,,6.19
1962-11-01,,,,,,,,,,,,,6.19
1962-12-01,,,,,,,,,,,,,6.09
1963-01-01,,,,,,,,,,,,70748.0,5.99
1963-02-01,,,,,,,,,,,,81926.0,5.99
1963-03-01,,,,,,,,,,,,154285.0,5.99
1963-04-01,,,,,,,,,,,,145962.0,5.99
1963-05-01,,,,,,,,,,,,140937.0,6.09
1963-06-01,,,,,,,,,,,,104006.0,6.09
1963-07-01,,,,,,,,,,,,121236.0,6.09
1963-08-01,,,,,,,,,,,,75144.0,6.09
1963-09-01,,,,,,,,,,,,97345.0,6.09
1963-10-01,,,,,,,,,,,,111165.0,6.09
1963-11-01,,,,,,,,,,,,90784.0,5.99
1963-12-01,,,,,,,,,,,,77462.0,5.99
1964-01-01,,,,,,,,,,,,80483.0,5.89
1964-02-01,,,,,,,,,,,,102056.0,5.89
1964-03-01,,,,,,,,,,,,157376.0,5.99
1964-04-01,,,,,,,,,,,,152637.0,6.19
1964-05-01,,,,,,,,,,,,120916.0,6.29
1964-06-01,,,,,,,,,,,,126483.0,6.29
1964-07-01,,,,,,,,,,,,121671.0,6.29
1964-08-01,,,,,,,,,,,,82081.0,6.29
1964-09-01,,,,,,,,,,,,107987.0,6.39
1964-10-01,,,,,,,,,,,,113704.0,6.39
1964-11-01,,,,,,,,,,,,90163.0,6.39
1964-12-01,,,,,,,,,,,,87423.0,6.39
1965-01-01,,,,,,,,,,,,81007.0,6.39
1965-02-01,,,,,,,,,,,,111348.0,6.49
1965-03-01,,,,,,,,,,,,170152.0,6.49
1965-04-01,,,,,,,,,,,,178904.0,6.59
1965-05-01,,,,,,,,,,,,143715.0,6.89
1965-06-01,,,,,,,,,,,,134145.0,7.09
1965-07-01,,,,,,,,,,,,122066.0,7.19
1965-08-01,,,,,,,,,,,,94449.0,7.29
1965-09-01,,,,,,,,,,,,127210.0,7.39
1965-10-01,,,,,,,,,,,,139811.0,7.49
1965-11-01,,,,,,,,,,,,114876.0,7.49
1965-12-01,,,,,,,,,,,,99881.0,7.69
1966-01-01,,,,,,,,,,,,96057.0,7.59
1966-02-01,,,,,,,,,,,,123139.0,7.59
1966-03-01,,,,,,,,,,,,212228.0,7.69
1966-04-01,,,,,,,,,,,,161568.0,7.99
1966-05-01,,,,,,,,,,,,147406.0,8.19
1966-06-01,,,,,,,,,,,,133121.0,8.39
1966-07-01,,,,,,,,,,,,115697.0,8.59
1966-08-01,,,,,,,,,,,,93503.0,8.59
1966-09-01,,,,,,,,,,,,123722.0,8.49
1966-10-01,,,,,,,,,,,,118928.0,8.39
1966-11-01,,,,,,,,,,,,99350.0,8.19
1966-12-01,,,,,,,,,,,,81405.0,7.69
1967-01-01,,,,,,,,,,,,74445.0,7.49
1967-02-01,,,,,,,,,,,,97783.0,7.39
1967-03-01,,,,,,,,,,,,157341.0,7.19
1967-04-01,,,,,,,,,,,,143457.0,6.89
1967-05-01,,,,,,,,,,,,133412.0,6.89
1967-06-01,,,,,,,,,,,,127583.0,6.89
1967-07-01,,,,,,,,,,,,101222.0,6.89
1967-08-01,,,,,,,,,,,,85246.0,6.79
1967-09-01,,,,,,,,,,,,107944.0,6.69
1967-10-01,,,,,,,,,,,,123564.0,6.69
1967-11-01,,,,,,,,,,,,104354.0,6.79
1967-12-01,,,,,,,,,,,,100304.0,6.79
1968-01-01,,,,,,,,,,,,64575.0,6.69
1968-02-01,,,,,,,,,,,,101205.0,6.69
1968-03-01,,,,,,,,,,,,155131.0,6.69
1968-04-01,,,,,,,,,,,,167183.0,6.59
1968-05-01,,,,,,,,,,,,158333.0,6.39
1968-06-01,,,,,,,,,,,,113592.0,6.39
1968-07-01,,,,,,,,,,,,119217.0,6.39
1968-08-01,,,,,,,,,,,,83999.0,6.29
1968-09-01,,,,,,,,,,,,116300.0,6.29
1968-10-01,,,,,,,,,,,,143185.0,6.29
1968-11-01,,,,,,,,,,,,108904.0,6.29
1968-12-01,,,,,,,,,,,,93465.0,6.29
1969-01-01,,2900882510.0,3712263446.0,,,,,,,,,103944.0,6.29
1969-02-01,,2817319197.0,2714669118.0,,,,,,,,,131553.0,6.29
1969-03-01,,3920121168.0,2859349328.0,,,,,,,,,197854.0,6.39
1969-04-01,,2832630440.0,2552215142.0,,,,,,,,,196503.0,6.49
1969-05-01,,2929627261.0,2762377698.0,,,,,,,,,182505.0,6.49
1969-06-01,,4164260043.0,3559966578.0,,,,,,,,,164745.0,6.69
1969-07-01,,3258639878.0,3321548821.0,,,,,,,,,168342.0,6.89
1969-08-01,,3187923278.0,3515222159.0,,,,,,,,,93678.0,6.89
