date,REV_GG_TAX_TOTAL,REV_CG_TOTAL,EXP_CG_TOTAL,EXP_GG_SA_TOTAL,REV_GG_SA_TOTAL,IFO_BIZCLIMATE,GDP_DEFLATOR,GDP_REAL,HICP_TOTAL,IP_TOTAL,RETAIL_TURNOVER,AUTO_SALES,BUND_YIELD_10Y
1983-09-01,,9810838478.0,9446257360.0,,,,,,,,,195675.0,8.38
1983-10-01,,7949793223.0,9901357513.0,,,,,,,,,190586.0,8.24
1983-11-01,,6994066132.0,12027085546.0,,,,,,,,,168876.0,8.38
1983-12-01,,15358312943.0,8748170464.0,,,,,,,,,145949.0,8.36
1984-01-01,,7416278114.0,14428968406.0,,,,,,,,,183795.0,8.31
1984-02-01,,7910528372.0,9977504823.0,,,,,,,,,209590.0,8.11
1984-03-01,,9989822586.0,10197292240.0,,,,,,,,,294451.0,8.17
1984-04-01,,9549778105.0,10470009171.0,,,,,,,,,257478.0,8.11
1984-05-01,,7781009897.0,10406577451.0,,,,,,,,,263106.0,8.31
1984-06-01,,11068200470.0,10430173552.999992,,,,,,,,,155624.0,8.24
1984-07-01,,8817213791.0,10494181591.000008,,,,,,,,,154003.0,8.27
1984-08-01,,8789730706.0,10305889675.0,,,,,,,,,156797.0,7.96
1984-09-01,,11090450364.0,9753972212.0,,,,,,,,,194055.0,7.81
1984-10-01,,7596645469.0,10033272249.0,,,,,,,,,214579.0,7.47
1984-11-01,,8279402468.0,11771429858.0,,,,,,,,,171800.0,7.12
1984-12-01,,15797169461.0,10464283339.0,,,,,,,,,138661.0,7.02
1985-01-01,,7635448058.0,14604801537.0,,,,,,,,,160935.0,7.21
1985-02-01,,7835296165.0,11403901175.0,,,,,,,,,164469.0,7.62
1985-03-01,,10157091652.0,10934260463.0,,,,,,,,,244716.0,7.39
1985-04-01,,10007847318.0,10843853157.0,,,,,,,,,259143.0,7.27
1985-05-01,,7461337805.0,10093638371.0,,,,,,,,,227327.0,7.11
1985-06-01,,12346714976.0,10381345660.999992,,,,,,,,,200107.0,7.0
1985-07-01,,9524694178.0,10962803212.000008,,,,,,,,,225563.0,6.84
1985-08-01,,9250860179.0,10391401076.0,,,,,,,,,149929.0,6.41
1985-09-01,,12665588973.0,8826126091.0,,,,,,,,,185653.0,6.35
1985-10-01,,7950436320.0,10119270588.0,,,,,,,,,227703.0,6.66
1985-11-01,,8200247475.0,12086000957.0,,,,,,,,,182279.0,6.54
1985-12-01,,16783500198.0,10811600811.0,,,,,,,,,151437.0,6.3
1986-01-01,,7089604173.0,14425814107.0,,,,,,,,,200946.0,6.3
1986-02-01,,8500424800.0,9753563515.0,,,,,,,,,195852.0,5.89
1986-03-01,,10402374588.0,10661907082.0,,,,,,,,,272856.0,5.31
1986-04-01,,11696864309.0,11076549216.0,,,,,,,,,310625.0,5.38
1986-05-01,,7784101737.0,10230889515.0,,,,,,,,,247767.0,5.94
1986-06-01,,13247331468.0,10752187305.000008,,,,,,,,,248956.0,5.73
1986-07-01,,10472080064.0,11777363209.999992,,,,,,,,,238719.0,5.72
1986-08-01,,8188839881.0,10465909611.0,,,,,,,,,182876.0,5.54
1986-09-01,,11142897282.0,10040336526.0,,,,,,,,,225581.0,6.04
1986-10-01,,8121294673.0,11705511849.0,,,,,,,,,252776.0,6.13
1986-11-01,,8500482608.0,11582602792.0,,,,,,,,,203894.0,5.89
1986-12-01,,16665678393.0,11242739389.0,,,,,,,,,248590.0,5.93
1987-01-01,,7951501598.0,14741582393.0,,,,,,,,,145122.0,5.95
1987-02-01,,8104689436.0,9837548766.0,,,,,,,,,190175.0,5.99
1987-03-01,,10742940111.0,10746935611.0,,,,,,,,,293496.0,5.65
1987-04-01,,12663221882.0,11839150659.0,,,,,,,,,318609.0,5.59
1987-05-01,,7443100110.0,10047827976.0,,,,,,,,,285008.0,5.63
1987-06-01,,11744577062.0,11094966991.000008,,,,,,,,,264283.0,6.0
1987-07-01,,9292474917.999992,12126498989.999992,,,,,,,,,270783.0,6.24
1987-08-01,,8996983853.000008,10775249373.0,,,,,,,,,183224.0,6.45
1987-09-01,,11928624429.0,10209734052.0,,,,,,,,,234518.0,6.83
1987-10-01,,8457504777.0,11757884865.0,,,,,,,,,258441.0,6.36
1987-11-01,,8704917981.0,12602988645.0,,,,,,,,,224866.0,6.25
1987-12-01,,17256596099.0,11781026532.0,,,,,,,,,247129.0,6.42
1988-01-01,,8091245399.0,14537679403.0,,,,,,,,,152012.0,6.37
1988-02-01,,8606664628.000002,10859464573.0,,,,,,,,,197961.0,6.2
1988-03-01,,11027883598.999998,11029332128.0,,,,,,,,,306919.0,6.23
1988-04-01,,9198325756.0,11211614062.0,,,,,,,,,284475.0,6.45
1988-05-01,,8998722586.0,11393755835.0,,,,,,,,,267290.0,6.64
1988-06-01,,11779478039.0,11546508934.0,,,,,,,,,269527.0,6.68
1988-07-01,,9777755383.0,11923875782.0,,,,,,,,,235515.0,6.81
1988-08-01,,8691150627.0,11792667956.0,,,,,,,,,186407.0,6.75
